EmpID,Name,Gender,Month,MonthNum,Quarter,Year,Group,Function,Confirmed,Headcount
E001,John Smith,M,Jan,1,Q1,2023,6,Operations,Y,1
E002,Sara Johnson,F,Jan,1,Q1,2023,7,Commercial,Y,1
E003,Mike Davis,M,Jan,1,Q1,2023,8,Finance,N,1
E004,Emily Brown,F,Jan,1,Q1,2023,Part Time,Customer Service,Y,1
E005,James Wilson,M,Jan,1,Q1,2023,10,Information Services,Y,1
E006,Lisa Taylor,F,Jan,1,Q1,2023,9,Administration,N,1
E007,Robert Martin,M,Feb,2,Q1,2023,5,General Management,Y,1
E008,Jennifer White,F,Feb,2,Q1,2023,L,Human Resource,Y,1
E009,William Lee,M,Feb,2,Q1,2023,K,First Choice,N,1
E010,Amanda Clark,F,Feb,2,Q1,2023,J,Marketing,Y,1
E011,David Hall,M,Feb,2,Q1,2023,I,Procurement,Y,1
E012,Jessica Lewis,F,Feb,2,Q1,2023,H,Operations,N,1
E013,Daniel Young,M,Mar,3,Q1,2023,G,Commercial,Y,1
E014,Ashley Walker,F,Mar,3,Q1,2023,F,Finance,Y,1
E015,Matthew Allen,M,Mar,3,Q1,2023,6,Customer Service,N,1
E016,Brittany King,F,Mar,3,Q1,2023,7,Information Services,Y,1
E017,Christopher Wright,M,Mar,3,Q1,2023,8,Administration,Y,1
E018,Stephanie Scott,F,Mar,3,Q1,2023,Part Time,General Management,N,1
E019,Andrew Torres,M,Apr,4,Q2,2023,10,Human Resource,Y,1
E020,Nicole Green,F,Apr,4,Q2,2023,9,First Choice,Y,1
E021,Joshua Adams,M,Apr,4,Q2,2023,5,Marketing,N,1
E022,Samantha Baker,F,Apr,4,Q2,2023,L,Procurement,Y,1
E023,Ryan Nelson,M,Apr,4,Q2,2023,K,Operations,Y,1
E024,Rachel Carter,F,Apr,4,Q2,2023,J,Commercial,N,1
E025,Brandon Mitchell,M,May,5,Q2,2023,I,Finance,Y,1
E026,Kayla Perez,F,May,5,Q2,2023,H,Customer Service,Y,1
E027,Tyler Roberts,M,May,5,Q2,2023,G,Information Services,N,1
E028,Megan Turner,F,May,5,Q2,2023,F,Administration,Y,1
E029,Austin Phillips,M,May,5,Q2,2023,6,General Management,Y,1
E030,Lauren Campbell,F,May,5,Q2,2023,7,Human Resource,N,1
E031,Justin Parker,M,Jun,6,Q2,2023,8,First Choice,Y,1
E032,Amber Evans,F,Jun,6,Q2,2023,Part Time,Marketing,Y,1
E033,Nathan Edwards,M,Jun,6,Q2,2023,10,Procurement,N,1
E034,Heather Collins,F,Jun,6,Q2,2023,9,Operations,Y,1
E035,Adam Stewart,M,Jun,6,Q2,2023,5,Commercial,Y,1
E036,Courtney Sanchez,F,Jun,6,Q2,2023,L,Finance,N,1
E037,Kevin Morris,M,Jul,7,Q3,2023,K,Customer Service,Y,1
E038,Tiffany Rogers,F,Jul,7,Q3,2023,J,Information Services,Y,1
E039,Eric Reed,M,Jul,7,Q3,2023,I,Administration,N,1
E040,Danielle Cook,F,Jul,7,Q3,2023,H,General Management,Y,1
E041,Brian Morgan,M,Jul,7,Q3,2023,G,Human Resource,Y,1
E042,Crystal Bell,F,Jul,7,Q3,2023,F,First Choice,N,1
E043,Jeremy Murphy,M,Aug,8,Q3,2023,6,Marketing,Y,1
E044,Vanessa Bailey,F,Aug,8,Q3,2023,7,Procurement,Y,1
E045,Sean Rivera,M,Aug,8,Q3,2023,8,Operations,N,1
E046,Melissa Cooper,F,Aug,8,Q3,2023,Part Time,Commercial,Y,1
E047,Brett Richardson,M,Aug,8,Q3,2023,10,Finance,Y,1
E048,Lacey Cox,F,Aug,8,Q3,2023,9,Customer Service,N,1
E049,Dustin Howard,M,Sep,9,Q3,2023,5,Information Services,Y,1
E050,Molly Ward,F,Sep,9,Q3,2023,L,Administration,Y,1
E051,Cody Torres,M,Sep,9,Q3,2023,K,General Management,N,1
E052,Lindsey Peterson,F,Sep,9,Q3,2023,J,Human Resource,Y,1
E053,Phillip Gray,M,Sep,9,Q3,2023,I,First Choice,Y,1
E054,Kristen Ramirez,F,Sep,9,Q3,2023,H,Marketing,N,1
E055,Shawn James,M,Oct,10,Q4,2023,G,Procurement,Y,1
E056,Brittney Watson,F,Oct,10,Q4,2023,F,Operations,Y,1
E057,Derrick Brooks,M,Oct,10,Q4,2023,6,Commercial,N,1
E058,Alicia Kelly,F,Oct,10,Q4,2023,7,Finance,Y,1
E059,Marcus Sanders,M,Oct,10,Q4,2023,8,Customer Service,Y,1
E060,Tara Price,F,Oct,10,Q4,2023,Part Time,Information Services,N,1
E061,Darnell Bennett,M,Nov,11,Q4,2023,10,Administration,Y,1
E062,Jasmine Wood,F,Nov,11,Q4,2023,9,General Management,Y,1
E063,Terrence Barnes,M,Nov,11,Q4,2023,5,Human Resource,N,1
E064,Candice Ross,F,Nov,11,Q4,2023,L,First Choice,Y,1
E065,Roderick Henderson,M,Nov,11,Q4,2023,K,Marketing,Y,1
E066,Monique Coleman,F,Nov,11,Q4,2023,J,Procurement,N,1
E067,Dexter Jenkins,M,Dec,12,Q4,2023,I,Operations,Y,1
E068,Yolanda Perry,F,Dec,12,Q4,2023,H,Commercial,Y,1
E069,Cedric Powell,M,Dec,12,Q4,2023,G,Finance,N,1
E070,Latoya Long,F,Dec,12,Q4,2023,F,Customer Service,Y,1
E071,Reginald Patterson,M,Jan,1,Q1,2023,6,Information Services,Y,1
E072,Veronica Hughes,F,Jan,1,Q1,2023,7,Administration,N,1
E073,Marvin Flores,M,Jan,1,Q1,2023,8,General Management,Y,1
E074,Tamika Washington,F,Jan,1,Q1,2023,Part Time,Human Resource,Y,1
E075,Quincy Butler,M,Feb,2,Q1,2023,10,First Choice,N,1
E076,Dominique Simmons,F,Feb,2,Q1,2023,9,Marketing,Y,1
E077,Jermaine Foster,M,Feb,2,Q1,2023,5,Procurement,Y,1
E078,Shaniqua Gonzales,F,Feb,2,Q1,2023,L,Operations,N,1
E079,DeShawn Bryant,M,Mar,3,Q1,2023,K,Commercial,Y,1
E080,Keisha Alexander,F,Mar,3,Q1,2023,J,Finance,Y,1
E081,Tyrone Russell,M,Mar,3,Q1,2023,I,Customer Service,N,1
E082,Niesha Griffin,F,Mar,3,Q1,2023,H,Information Services,Y,1
E083,Darius Diaz,M,Apr,4,Q2,2023,G,Administration,Y,1
E084,Tanisha Hayes,F,Apr,4,Q2,2023,F,General Management,N,1
E085,Malik Myers,M,Apr,4,Q2,2023,6,Human Resource,Y,1
E086,Ebony Ford,F,Apr,4,Q2,2023,7,First Choice,Y,1
E087,Jamal Hamilton,M,May,5,Q2,2023,8,Marketing,N,1
E088,Imani Graham,F,May,5,Q2,2023,Part Time,Procurement,Y,1
E089,Kareem Sullivan,M,May,5,Q2,2023,10,Operations,Y,1
E090,Fatima Wallace,F,May,5,Q2,2023,9,Commercial,N,1
E091,Rasheed Woods,M,Jun,6,Q2,2023,5,Finance,Y,1
E092,Aaliyah Cole,F,Jun,6,Q2,2023,L,Customer Service,Y,1
E093,Hakeem West,M,Jun,6,Q2,2023,K,Information Services,N,1
